company_id,firma_unvani,mersis_no,sektor,sehir,kurulus_tarihi,sermaye_tl,calisan_sayisi,kkb_firma_skoru
F00001,Doruk Teknoloji A.Ş.,7816265097958460,Lojistik,İzmir,2005-10-15,977052.3,2,1211
F00002,Anka Yazılım A.Ş.,6242012803338188,Sağlık,İstanbul,2015-04-17,256317.96,13,1454
F00003,Kaptan Gıda Ltd. Şti.,2573936351163882,Gıda ve İçecek,İstanbul,2012-03-19,525173.42,12,1289
F00004,Cevher Grup Ltd. Şti.,0183798722683155,Finans ve Sigorta,Bursa,2004-09-14,171382.25,7,1636
F00005,Toros Makine A.Ş.,0927634513165548,Enerji,İstanbul,2008-06-27,131770.71,31,1405
F00006,Damla Endüstri Ltd. Şti.,0324401685075902,Eğitim,İstanbul,2001-01-04,151239.46,24,1181
F00007,Pusula Makine Ltd. Şti.,4469070406633340,İnşaat,Antalya,1999-02-17,541448.07,16,1149
F00008,Cevher Metal A.Ş.,2809170010943699,Tekstil,İstanbul,1995-02-07,479979.32,23,1747
F00009,Berrak Gıda A.Ş.,2021441035108428,Finans ve Sigorta,İzmir,2009-08-23,776662.92,22,1061
F00010,Cevher Gıda Ltd. Şti.,0929160360660072,Tekstil,Ankara,2000-10-10,3966702.44,3,1594
F00011,Deniz Enerji A.Ş.,6359122538632137,Sağlık,Ankara,2005-01-11,431236.61,4,1272
F00012,Aydın Endüstri A.Ş.,2542775344668265,Otomotiv,Antalya,2014-11-10,246070.12,49,1186
F00013,Kaptan Makine Ltd. Şti.,4731393382731785,Sağlık,Bursa,2002-12-15,201160.93,1,1830
F00014,Kıvılcım Tekstil Ltd. Şti.,4924532492743225,Otomotiv,Adana,2013-09-07,82659.49,18,1369
F00015,Toros Holding Ltd. Şti.,7129739114146997,Tekstil,Bursa,2013-04-16,240914.88,30,1900
F00016,Pusula Enerji Ltd. Şti.,4372541715526856,Bilişim ve Yazılım,Ankara,2005-01-27,353855.19,25,1498
F00017,Zirve Ticaret A.Ş.,1851400843418005,Eğitim,İzmir,2010-11-25,821826.49,8,1722
