company_id,yil,ciro_tl,net_kar_tl,toplam_borc_tl,ozkaynak_tl
F00001,2021,1382238.98,381428.34,754967.75,1120941.23
F00001,2022,1698022.6,64260.38,1563508.78,1023636.33
F00001,2023,1939809.22,22661.63,1202477.32,998563.19
F00001,2024,3030079.31,633093.07,369975.55,1361604.35
F00001,2025,3739210.0,208956.1,2397689.46,1062653.44
F00002,2021,279511.36,33126.27,230510.65,286427.26
F00002,2022,332140.07,54267.22,228581.24,285880.14
F00002,2023,406419.82,119291.25,308655.55,375444.9
F00002,2024,620670.08,123655.76,325777.95,313861.4
F00002,2025,422964.08,72725.75,295087.12,279046.04
F00003,2021,978497.94,272047.83,520227.32,728248.15
F00003,2022,1083187.33,216806.85,314004.56,623662.38
F00003,2023,840573.0,208704.74,634535.86,588230.61
F00003,2024,781630.23,206690.15,340941.22,635466.69
F00003,2025,859276.73,231088.85,731321.86,741905.92
F00004,2021,494288.04,56133.04,164775.43,209071.99
F00004,2022,509566.92,78791.8,219433.69,214207.63
F00004,2023,564695.32,52562.0,370994.92,200936.49
F00004,2024,602552.35,19187.06,392372.22,182616.84
F00004,2025,658805.83,85246.46,528455.58,239513.59
F00005,2021,379339.43,62275.08,55077.01,169963.05
F00005,2022,439450.16,80001.23,44518.15,176451.36
F00005,2023,352417.09,28698.38,256207.67,156579.46
F00005,2024,327946.49,95420.82,269821.09,168658.37
F00005,2025,651003.13,50304.82,298348.85,166105.28
F00006,2021,213841.7,51110.92,111266.72,173388.87
F00006,2022,260062.19,40509.28,56756.9,165299.12
F00006,2023,236309.57,61852.87,82774.62,205873.45
F00006,2024,231854.19,61240.83,79368.17,193332.32
F00006,2025,503939.97,21198.94,216528.17,159169.65
F00007,2021,745298.92,74336.02,215078.81,607393.18
F00007,2022,821640.73,36905.75,283962.01,555974.59
F00007,2023,571756.86,102902.19,273835.31,634857.22
F00007,2024,589890.58,68704.67,465432.98,575003.92
F00007,2025,545219.16,57049.84,400944.22,596891.03
F00008,2021,1485459.11,396355.76,1110221.71,858390.15
F00008,2022,1635414.29,346993.46,847120.58,816396.04
F00008,2023,1482439.36,150487.49,1114401.06,608213.38
F00008,2024,2281463.67,96374.41,473675.22,525430.01
F00008,2025,1989846.47,592119.26,789044.58,724205.95
F00009,2021,2140864.05,466231.13,440020.77,959608.43
F00009,2022,2009986.3,538152.94,555635.91,1156235.13
F00009,2023,1951656.93,398089.15,277500.61,1144714.8
F00009,2024,1663458.34,336640.0,671344.17,1059604.93
F00009,2025,2344270.43,451910.26,1539481.83,1101093.96
F00010,2021,4010190.89,620240.76,1938084.76,4217865.13
F00010,2022,4423333.26,1117660.4,895608.63,4645457.87
F00010,2023,3869455.99,58771.94,859907.15,4004238.84
F00010,2024,3038688.1,284135.9,1381644.23,4180920.32
F00010,2025,3305357.11,436066.26,1728174.69,4211795.87
F00011,2021,970850.29,146922.14,878378.73,498227.67
F00011,2022,877090.24,160796.2,238235.62,523723.94
F00011,2023,843323.65,39551.4,514221.65,456878.28
F00011,2024,1313858.56,333059.51,1135401.03,643832.77
F00011,2025,667862.76,40448.97,344271.36,460490.13
F00012,2021,790560.3,144880.54,553142.95,313191.77
F00012,2022,988937.9,202057.57,465918.28,432766.09
F00012,2023,1222047.63,40690.35,477549.81,262580.62
F00012,2024,1637427.1,265126.91,1328805.88,461472.88
F00012,2025,2018142.09,235471.93,1513399.93,336546.72
F00013,2021,686843.01,97101.7,505848.05,278987.25
F00013,2022,631088.15,49809.95,537341.8,237373.17
F00013,2023,597699.87,70647.6,519259.38,266886.52
F00013,2024,387794.07,99169.96,44197.81,265096.75
F00013,2025,554675.9,76087.96,394712.43,243469.54
F00014,2021,112678.0,7634.49,45857.81,88278.11
F00014,2022,109305.66,13975.0,58188.68,88892.22
F00014,2023,126664.84,34111.57,61415.82,110082.28
F00014,2024,125789.05,11452.35,40067.59,86486.56
F00014,2025,70520.33,15849.93,30051.09,93378.06
F00015,2021,685567.98,116753.25,213615.86,310903.97
F00015,2022,733775.28,91832.32,553681.5,301775.11
F00015,2023,688382.11,25380.91,230902.09,264776.93
F00015,2024,1282667.77,236427.7,186452.45,468687.6
F00015,2025,1356471.32,312119.83,714628.38,473369.04
F00016,2021,499636.52,143231.43,77937.9,412524.15
F00016,2022,420615.22,96982.75,357499.13,422041.24
