loan_id,owner_id,owner_type,kredi_turu,tutar_tl,vade_ay,aylik_faiz_yuzde,baslangic_tarihi,durum,temerrut_flag
L000001,C00002,customer,İhtiyaç Kredisi,229282.7,24,3.52,2025-10-29,Aktif,False
L000002,C00004,customer,Kredi Kartı,113504.52,48,3.97,2025-11-03,Aktif,False
L000003,C00004,customer,Kredi Kartı,27699.01,6,3.69,2021-11-18,Kapalı,False
L000004,C00006,customer,KOBİ Kredisi,9653.78,48,4.44,2025-09-04,Aktif,False
L000005,C00007,customer,Konut Kredisi,39918.65,60,3.32,2026-02-26,Aktif,False
L000006,C00007,customer,Konut Kredisi,19467.13,48,4.77,2023-07-26,Aktif,False
L000007,C00009,customer,KOBİ Kredisi,6226.46,12,4.35,2021-10-01,Kapalı,False
L000008,C00010,customer,KOBİ Kredisi,47251.85,12,2.54,2022-11-12,Kapalı,False
L000009,C00011,customer,İşletme Kredisi,6569.46,36,4.89,2026-02-16,Aktif,False
L000010,C00012,customer,İşletme Kredisi,25860.61,120,3.2,2021-05-30,Aktif,False
L000011,C00012,customer,Taşıt Kredisi,3904.61,120,4.36,2023-03-27,Aktif,False
L000012,C00013,customer,Konut Kredisi,41439.78,48,3.36,2024-12-28,Aktif,False
L000013,C00013,customer,Taşıt Kredisi,26707.16,120,3.45,2022-06-03,Aktif,False
L000014,C00014,customer,Konut Kredisi,109465.11,84,3.72,2022-06-04,Aktif,False
L000015,C00014,customer,Konut Kredisi,200968.42,6,3.13,2021-02-13,Aktif,False
L000016,C00015,customer,İhtiyaç Kredisi,18397.06,24,4.74,2026-03-19,Aktif,False
L000017,C00016,customer,Konut Kredisi,15589.37,36,3.81,2023-04-25,Kapalı,False
L000018,C00016,customer,İşletme Kredisi,58611.3,48,4.83,2023-01-10,Aktif,False
L000019,C00017,customer,Taşıt Kredisi,27996.88,24,3.43,2021-05-30,Kapalı,False
L000020,C00018,customer,Konut Kredisi,7763.39,36,4.63,2021-06-13,Kapalı,False
L000021,C00019,customer,Taşıt Kredisi,116240.6,24,4.56,2024-11-15,Aktif,False
L000022,C00019,customer,Kredi Kartı,38769.56,84,4.18,2023-02-03,Aktif,False
L000023,C00019,customer,Kredi Kartı,11218.5,60,3.08,2022-05-27,Aktif,False
L000024,C00021,customer,Kredi Kartı,5561.32,24,3.16,2026-06-14,Aktif,True
L000025,C00022,customer,Taşıt Kredisi,33399.81,6,3.0,2020-04-08,Kapalı,False
L000026,C00022,customer,KOBİ Kredisi,30229.26,84,4.89,2019-10-27,Aktif,False
L000027,C00023,customer,İhtiyaç Kredisi,11718.83,60,3.81,2026-07-15,Aktif,False
L000028,C00023,customer,İhtiyaç Kredisi,104348.92,12,4.07,2022-06-26,Aktif,False
L000029,C00024,customer,İhtiyaç Kredisi,16611.92,60,3.35,2024-12-04,Aktif,False
L000030,C00025,customer,KOBİ Kredisi,34086.17,24,3.13,2021-05-17,Kapalı,False
L000031,C00026,customer,Konut Kredisi,18866.62,24,3.68,2025-02-25,Aktif,False
L000032,C00028,customer,Konut Kredisi,10312.23,120,4.34,2023-07-17,Aktif,False
L000033,C00028,customer,İşletme Kredisi,12453.7,12,3.95,2023-03-22,Kapalı,False
L000034,C00029,customer,Kredi Kartı,46329.04,60,4.86,2019-04-03,Kapalı,False
L000035,C00030,customer,Kredi Kartı,82924.01,24,2.87,2020-05-09,Aktif,False
L000036,C00030,customer,İhtiyaç Kredisi,34306.94,12,2.54,2019-09-12,Kapalı,False
L000037,C00031,customer,Konut Kredisi,11334.86,48,4.01,2021-06-24,Kapalı,False
L000038,C00031,customer,KOBİ Kredisi,67621.17,36,4.7,2020-07-20,Kapalı,False
L000039,C00032,customer,Konut Kredisi,20179.37,84,2.81,2025-05-06,Aktif,False
L000040,C00035,customer,KOBİ Kredisi,21878.19,84,3.27,2026-01-18,Aktif,False
