payment_id,loan_id,taksit_no,vade_tarihi,tutar_tl,odeme_durumu,gecikme_gun
P0000001,L000001,1,2025-11-28,17624.2,Zamanında Ödendi,0
P0000002,L000001,2,2025-12-28,17624.2,Zamanında Ödendi,0
P0000003,L000001,3,2026-01-27,17624.2,Zamanında Ödendi,0
P0000004,L000001,4,2026-02-26,17624.2,Zamanında Ödendi,0
P0000005,L000001,5,2026-03-28,17624.2,Zamanında Ödendi,0
P0000006,L000001,6,2026-04-27,17624.2,Zamanında Ödendi,0
P0000007,L000001,7,2026-05-27,17624.2,Zamanında Ödendi,0
P0000008,L000001,8,2026-06-26,17624.2,Zamanında Ödendi,0
P0000009,L000001,9,2026-07-26,17624.2,Zamanında Ödendi,0
P0000010,L000001,10,2026-08-25,17624.2,Zamanında Ödendi,0
P0000011,L000002,1,2025-12-03,6870.81,Zamanında Ödendi,0
P0000012,L000002,2,2026-01-02,6870.81,Zamanında Ödendi,0
P0000013,L000002,3,2026-02-01,6870.81,Gecikmeli Ödendi,68
P0000014,L000002,4,2026-03-03,6870.81,Zamanında Ödendi,0
P0000015,L000002,5,2026-04-02,6870.81,Zamanında Ödendi,0
P0000016,L000002,6,2026-05-02,6870.81,Zamanında Ödendi,0
P0000017,L000002,7,2026-06-01,6870.81,Zamanında Ödendi,0
P0000018,L000002,8,2026-07-01,6870.81,Zamanında Ödendi,0
P0000019,L000002,9,2026-07-31,6870.81,Zamanında Ödendi,0
P0000020,L000003,1,2021-12-18,5638.6,Zamanında Ödendi,0
P0000021,L000003,2,2022-01-17,5638.6,Zamanında Ödendi,0
P0000022,L000003,3,2022-02-16,5638.6,Zamanında Ödendi,0
P0000023,L000003,4,2022-03-18,5638.6,Zamanında Ödendi,0
P0000024,L000003,5,2022-04-17,5638.6,Zamanında Ödendi,0
P0000025,L000003,6,2022-05-17,5638.6,Zamanında Ödendi,0
P0000026,L000004,1,2025-10-04,629.75,Zamanında Ödendi,0
P0000027,L000004,2,2025-11-03,629.75,Zamanında Ödendi,0
P0000028,L000004,3,2025-12-03,629.75,Zamanında Ödendi,0
P0000029,L000004,4,2026-01-02,629.75,Zamanında Ödendi,0
P0000030,L000004,5,2026-02-01,629.75,Zamanında Ödendi,0
P0000031,L000004,6,2026-03-03,629.75,Zamanında Ödendi,0
P0000032,L000004,7,2026-04-02,629.75,Zamanında Ödendi,0
P0000033,L000004,8,2026-05-02,629.75,Zamanında Ödendi,0
P0000034,L000004,9,2026-06-01,629.75,Zamanında Ödendi,0
P0000035,L000004,10,2026-07-01,629.75,Zamanında Ödendi,0
P0000036,L000004,11,2026-07-31,629.75,Zamanında Ödendi,0
P0000037,L000005,1,2026-03-28,1990.61,Zamanında Ödendi,0
P0000038,L000005,2,2026-04-27,1990.61,Zamanında Ödendi,0
P0000039,L000005,3,2026-05-27,1990.61,Zamanında Ödendi,0
P0000040,L000005,4,2026-06-26,1990.61,Zamanında Ödendi,0
P0000041,L000005,5,2026-07-26,1990.61,Zamanında Ödendi,0
P0000042,L000005,6,2026-08-25,1990.61,Zamanında Ödendi,0
P0000043,L000006,1,2023-08-25,1334.15,Zamanında Ödendi,0
P0000044,L000006,2,2023-09-24,1334.15,Zamanında Ödendi,0
P0000045,L000006,3,2023-10-24,1334.15,Zamanında Ödendi,0
P0000046,L000006,4,2023-11-23,1334.15,Zamanında Ödendi,0
P0000047,L000006,5,2023-12-23,1334.15,Zamanında Ödendi,0
P0000048,L000006,6,2024-01-22,1334.15,Zamanında Ödendi,0
P0000049,L000006,7,2024-02-21,1334.15,Zamanında Ödendi,0
P0000050,L000006,8,2024-03-22,1334.15,Zamanında Ödendi,0
P0000051,L000006,9,2024-04-21,1334.15,Zamanında Ödendi,0
P0000052,L000006,10,2024-05-21,1334.15,Zamanında Ödendi,0
P0000053,L000006,11,2024-06-20,1334.15,Zamanında Ödendi,0
P0000054,L000006,12,2024-07-20,1334.15,Zamanında Ödendi,0
P0000055,L000006,13,2024-08-19,1334.15,Zamanında Ödendi,0
P0000056,L000006,14,2024-09-18,1334.15,Zamanında Ödendi,0
P0000057,L000006,15,2024-10-18,1334.15,Zamanında Ödendi,0
P0000058,L000006,16,2024-11-17,1334.15,Zamanında Ödendi,0
P0000059,L000006,17,2024-12-17,1334.15,Zamanında Ödendi,0
P0000060,L000006,18,2025-01-16,1334.15,Zamanında Ödendi,0
P0000061,L000006,19,2025-02-15,1334.15,Zamanında Ödendi,0
P0000062,L000006,20,2025-03-17,1334.15,Zamanında Ödendi,0
P0000063,L000006,21,2025-04-16,1334.15,Zamanında Ödendi,0
P0000064,L000006,22,2025-05-16,1334.15,Zamanında Ödendi,0
P0000065,L000006,23,2025-06-15,1334.15,Zamanında Ödendi,0
P0000066,L000006,24,2025-07-15,1334.15,Zamanında Ödendi,0
P0000067,L000006,25,2025-08-14,1334.15,Gecikmeli Ödendi,0
P0000068,L000006,26,2025-09-13,1334.15,Zamanında Ödendi,0
P0000069,L000006,27,2025-10-13,1334.15,Zamanında Ödendi,0
P0000070,L000006,28,2025-11-12,1334.15,Zamanında Ödendi,0
P0000071,L000006,29,2025-12-12,1334.15,Zamanında Ödendi,0
P0000072,L000006,30,2026-01-11,1334.15,Zamanında Ödendi,0
P0000073,L000006,31,2026-02-10,1334.15,Zamanında Ödendi,0
P0000074,L000006,32,2026-03-12,1334.15,Zamanında Ödendi,0
P0000075,L000006,33,2026-04-11,1334.15,Zamanında Ödendi,0
P0000076,L000006,34,2026-05-11,1334.15,Zamanında Ödendi,0
P0000077,L000006,35,2026-06-10,1334.15,Zamanında Ödendi,0
P0000078,L000006,36,2026-07-10,1334.15,Zamanında Ödendi,0
P0000079,L000006,37,2026-08-09,1334.15,Zamanında Ödendi,0
P0000080,L000007,1,2021-10-31,789.72,Zamanında Ödendi,0
P0000081,L000007,2,2021-11-30,789.72,Zamanında Ödendi,0
P0000082,L000007,3,2021-12-30,789.72,Gecikmeli Ödendi,2
P0000083,L000007,4,2022-01-29,789.72,Gecikmeli Ödendi,2
P0000084,L000007,5,2022-02-28,789.72,Zamanında Ödendi,0
P0000085,L000007,6,2022-03-30,789.72,Zamanında Ödendi,0
P0000086,L000007,7,2022-04-29,789.72,Zamanında Ödendi,0
P0000087,L000007,8,2022-05-29,789.72,Zamanında Ödendi,0
P0000088,L000007,9,2022-06-28,789.72,Zamanında Ödendi,0
P0000089,L000007,10,2022-07-28,789.72,Zamanında Ödendi,0
P0000090,L000007,11,2022-08-27,789.72,Zamanında Ödendi,0
P0000091,L000007,12,2022-09-26,789.72,Zamanında Ödendi,0
P0000092,L000008,1,2022-12-12,5137.85,Zamanında Ödendi,0
P0000093,L000008,2,2023-01-11,5137.85,Zamanında Ödendi,0
P0000094,L000008,3,2023-02-10,5137.85,Zamanında Ödendi,0
P0000095,L000008,4,2023-03-12,5137.85,Zamanında Ödendi,0
P0000096,L000008,5,2023-04-11,5137.85,Zamanında Ödendi,0
P0000097,L000008,6,2023-05-11,5137.85,Zamanında Ödendi,0
P0000098,L000008,7,2023-06-10,5137.85,Zamanında Ödendi,0
P0000099,L000008,8,2023-07-10,5137.85,Zamanında Ödendi,0
P0000100,L000008,9,2023-08-09,5137.85,Zamanında Ödendi,0
P0000101,L000008,10,2023-09-08,5137.85,Zamanında Ödendi,0
P0000102,L000008,11,2023-10-08,5137.85,Zamanında Ödendi,0
P0000103,L000008,12,2023-11-07,5137.85,Zamanında Ödendi,0
P0000104,L000009,1,2026-03-18,503.73,Zamanında Ödendi,0
P0000105,L000009,2,2026-04-17,503.73,Zamanında Ödendi,0
P0000106,L000009,3,2026-05-17,503.73,Zamanında Ödendi,0
P0000107,L000009,4,2026-06-16,503.73,Zamanında Ödendi,0
P0000108,L000009,5,2026-07-16,503.73,Zamanında Ödendi,0
P0000109,L000009,6,2026-08-15,503.73,Zamanında Ödendi,0
P0000110,L000010,1,2021-06-29,1043.04,Zamanında Ödendi,0
P0000111,L000010,2,2021-07-29,1043.04,Zamanında Ödendi,0
P0000112,L000010,3,2021-08-28,1043.04,Zamanında Ödendi,0
P0000113,L000010,4,2021-09-27,1043.04,Zamanında Ödendi,0
P0000114,L000010,5,2021-10-27,1043.04,Zamanında Ödendi,0
P0000115,L000010,6,2021-11-26,1043.04,Zamanında Ödendi,0
P0000116,L000010,7,2021-12-26,1043.04,Zamanında Ödendi,0
P0000117,L000010,8,2022-01-25,1043.04,Zamanında Ödendi,0
P0000118,L000010,9,2022-02-24,1043.04,Zamanında Ödendi,0
P0000119,L000010,10,2022-03-26,1043.04,Zamanında Ödendi,0
P0000120,L000010,11,2022-04-25,1043.04,Zamanında Ödendi,0
P0000121,L000010,12,2022-05-25,1043.04,Zamanında Ödendi,0
P0000122,L000010,13,2022-06-24,1043.04,Zamanında Ödendi,0
P0000123,L000010,14,2022-07-24,1043.04,Zamanında Ödendi,0
P0000124,L000010,15,2022-08-23,1043.04,Zamanında Ödendi,0
P0000125,L000010,16,2022-09-22,1043.04,Zamanında Ödendi,0
P0000126,L000010,17,2022-10-22,1043.04,Zamanında Ödendi,0
P0000127,L000010,18,2022-11-21,1043.04,Zamanında Ödendi,0
P0000128,L000010,19,2022-12-21,1043.04,Zamanında Ödendi,0
P0000129,L000010,20,2023-01-20,1043.04,Zamanında Ödendi,0
P0000130,L000010,21,2023-02-19,1043.04,Zamanında Ödendi,0
P0000131,L000010,22,2023-03-21,1043.04,Zamanında Ödendi,0
P0000132,L000010,23,2023-04-20,1043.04,Zamanında Ödendi,0
P0000133,L000010,24,2023-05-20,1043.04,Zamanında Ödendi,0
P0000134,L000010,25,2023-06-19,1043.04,Zamanında Ödendi,0
P0000135,L000010,26,2023-07-19,1043.04,Zamanında Ödendi,0
P0000136,L000010,27,2023-08-18,1043.04,Zamanında Ödendi,0
P0000137,L000010,28,2023-09-17,1043.04,Zamanında Ödendi,0
P0000138,L000010,29,2023-10-17,1043.04,Zamanında Ödendi,0
P0000139,L000010,30,2023-11-16,1043.04,Zamanında Ödendi,0
P0000140,L000010,31,2023-12-16,1043.04,Zamanında Ödendi,0
P0000141,L000010,32,2024-01-15,1043.04,Zamanında Ödendi,0
P0000142,L000010,33,2024-02-14,1043.04,Zamanında Ödendi,0
P0000143,L000010,34,2024-03-15,1043.04,Zamanında Ödendi,0
P0000144,L000010,35,2024-04-14,1043.04,Zamanında Ödendi,0
P0000145,L000010,36,2024-05-14,1043.04,Zamanında Ödendi,0
P0000146,L000010,37,2024-06-13,1043.04,Zamanında Ödendi,0
P0000147,L000010,38,2024-07-13,1043.04,Zamanında Ödendi,0
P0000148,L000010,39,2024-08-12,1043.04,Zamanında Ödendi,0
P0000149,L000010,40,2024-09-11,1043.04,Zamanında Ödendi,0
P0000150,L000010,41,2024-10-11,1043.04,Zamanında Ödendi,0
P0000151,L000010,42,2024-11-10,1043.04,Zamanında Ödendi,0
P0000152,L000010,43,2024-12-10,1043.04,Zamanında Ödendi,0
P0000153,L000010,44,2025-01-09,1043.04,Zamanında Ödendi,0
P0000154,L000010,45,2025-02-08,1043.04,Zamanında Ödendi,0
P0000155,L000010,46,2025-03-10,1043.04,Zamanında Ödendi,0
P0000156,L000010,47,2025-04-09,1043.04,Zamanında Ödendi,0
P0000157,L000010,48,2025-05-09,1043.04,Zamanında Ödendi,0
P0000158,L000010,49,2025-06-08,1043.04,Zamanında Ödendi,0
P0000159,L000010,50,2025-07-08,1043.04,Zamanında Ödendi,0
P0000160,L000010,51,2025-08-07,1043.04,Zamanında Ödendi,0
P0000161,L000010,52,2025-09-06,1043.04,Zamanında Ödendi,0
P0000162,L000010,53,2025-10-06,1043.04,Zamanında Ödendi,0
P0000163,L000010,54,2025-11-05,1043.04,Zamanında Ödendi,0
P0000164,L000010,55,2025-12-05,1043.04,Zamanında Ödendi,0
P0000165,L000010,56,2026-01-04,1043.04,Zamanında Ödendi,0
P0000166,L000010,57,2026-02-03,1043.04,Zamanında Ödendi,0
P0000167,L000010,58,2026-03-05,1043.04,Zamanında Ödendi,0
P0000168,L000010,59,2026-04-04,1043.04,Zamanında Ödendi,0
P0000169,L000010,60,2026-05-04,1043.04,Gecikmeli Ödendi,8
P0000170,L000010,61,2026-06-03,1043.04,Zamanında Ödendi,0
P0000171,L000010,62,2026-07-03,1043.04,Zamanında Ödendi,0
P0000172,L000010,63,2026-08-02,1043.04,Zamanında Ödendi,0
P0000173,L000011,1,2023-04-26,202.78,Zamanında Ödendi,0
P0000174,L000011,2,2023-05-26,202.78,Zamanında Ödendi,0
P0000175,L000011,3,2023-06-25,202.78,Zamanında Ödendi,0
P0000176,L000011,4,2023-07-25,202.78,Zamanında Ödendi,0
P0000177,L000011,5,2023-08-24,202.78,Zamanında Ödendi,0
P0000178,L000011,6,2023-09-23,202.78,Gecikmeli Ödendi,0
P0000179,L000011,7,2023-10-23,202.78,Zamanında Ödendi,0
P0000180,L000011,8,2023-11-22,202.78,Zamanında Ödendi,0
P0000181,L000011,9,2023-12-22,202.78,Zamanında Ödendi,0
P0000182,L000011,10,2024-01-21,202.78,Zamanında Ödendi,0
P0000183,L000011,11,2024-02-20,202.78,Zamanında Ödendi,0
P0000184,L000011,12,2024-03-21,202.78,Zamanında Ödendi,0
P0000185,L000011,13,2024-04-20,202.78,Zamanında Ödendi,0
P0000186,L000011,14,2024-05-20,202.78,Zamanında Ödendi,0
P0000187,L000011,15,2024-06-19,202.78,Zamanında Ödendi,0
P0000188,L000011,16,2024-07-19,202.78,Zamanında Ödendi,0
P0000189,L000011,17,2024-08-18,202.78,Zamanında Ödendi,0
P0000190,L000011,18,2024-09-17,202.78,Zamanında Ödendi,0
P0000191,L000011,19,2024-10-17,202.78,Zamanında Ödendi,0
P0000192,L000011,20,2024-11-16,202.78,Zamanında Ödendi,0
P0000193,L000011,21,2024-12-16,202.78,Zamanında Ödendi,0
P0000194,L000011,22,2025-01-15,202.78,Zamanında Ödendi,0
P0000195,L000011,23,2025-02-14,202.78,Zamanında Ödendi,0
P0000196,L000011,24,2025-03-16,202.78,Zamanında Ödendi,0
P0000197,L000011,25,2025-04-15,202.78,Gecikmeli Ödendi,9
P0000198,L000011,26,2025-05-15,202.78,Zamanında Ödendi,0
P0000199,L000011,27,2025-06-14,202.78,Zamanında Ödendi,0
P0000200,L000011,28,2025-07-14,202.78,Zamanında Ödendi,0
P0000201,L000011,29,2025-08-13,202.78,Zamanında Ödendi,0
P0000202,L000011,30,2025-09-12,202.78,Zamanında Ödendi,0
P0000203,L000011,31,2025-10-12,202.78,Zamanında Ödendi,0
P0000204,L000011,32,2025-11-11,202.78,Zamanında Ödendi,0
P0000205,L000011,33,2025-12-11,202.78,Zamanında Ödendi,0
P0000206,L000011,34,2026-01-10,202.78,Zamanında Ödendi,0
P0000207,L000011,35,2026-02-09,202.78,Zamanında Ödendi,0
P0000208,L000011,36,2026-03-11,202.78,Zamanında Ödendi,0
P0000209,L000011,37,2026-04-10,202.78,Zamanında Ödendi,0
P0000210,L000011,38,2026-05-10,202.78,Zamanında Ödendi,0
P0000211,L000011,39,2026-06-09,202.78,Zamanında Ödendi,0
P0000212,L000011,40,2026-07-09,202.78,Zamanında Ödendi,0
P0000213,L000011,41,2026-08-08,202.78,Zamanında Ödendi,0
P0000214,L000012,1,2025-01-27,2255.71,Zamanında Ödendi,0
P0000215,L000012,2,2025-02-26,2255.71,Zamanında Ödendi,0
P0000216,L000012,3,2025-03-28,2255.71,Zamanında Ödendi,0
P0000217,L000012,4,2025-04-27,2255.71,Zamanında Ödendi,0
P0000218,L000012,5,2025-05-27,2255.71,Zamanında Ödendi,0
P0000219,L000012,6,2025-06-26,2255.71,Zamanında Ödendi,0
P0000220,L000012,7,2025-07-26,2255.71,Zamanında Ödendi,0
P0000221,L000012,8,2025-08-25,2255.71,Zamanında Ödendi,0
P0000222,L000012,9,2025-09-24,2255.71,Zamanında Ödendi,0
P0000223,L000012,10,2025-10-24,2255.71,Zamanında Ödendi,0
P0000224,L000012,11,2025-11-23,2255.71,Zamanında Ödendi,0
P0000225,L000012,12,2025-12-23,2255.71,Zamanında Ödendi,0
P0000226,L000012,13,2026-01-22,2255.71,Zamanında Ödendi,0
P0000227,L000012,14,2026-02-21,2255.71,Zamanında Ödendi,0
P0000228,L000012,15,2026-03-23,2255.71,Zamanında Ödendi,0
P0000229,L000012,16,2026-04-22,2255.71,Zamanında Ödendi,0
P0000230,L000012,17,2026-05-22,2255.71,Zamanında Ödendi,0
P0000231,L000012,18,2026-06-21,2255.71,Zamanında Ödendi,0
P0000232,L000012,19,2026-07-21,2255.71,Zamanında Ödendi,0
P0000233,L000012,20,2026-08-20,2255.71,Zamanında Ödendi,0
P0000234,L000013,1,2022-07-03,1143.96,Zamanında Ödendi,0
P0000235,L000013,2,2022-08-02,1143.96,Gecikmeli Ödendi,39
P0000236,L000013,3,2022-09-01,1143.96,Zamanında Ödendi,0
P0000237,L000013,4,2022-10-01,1143.96,Zamanında Ödendi,0
P0000238,L000013,5,2022-10-31,1143.96,Zamanında Ödendi,0
P0000239,L000013,6,2022-11-30,1143.96,Zamanında Ödendi,0
P0000240,L000013,7,2022-12-30,1143.96,Gecikmeli Ödendi,0
P0000241,L000013,8,2023-01-29,1143.96,Zamanında Ödendi,0
P0000242,L000013,9,2023-02-28,1143.96,Zamanında Ödendi,0
P0000243,L000013,10,2023-03-30,1143.96,Zamanında Ödendi,0
P0000244,L000013,11,2023-04-29,1143.96,Zamanında Ödendi,0
P0000245,L000013,12,2023-05-29,1143.96,Zamanında Ödendi,0
P0000246,L000013,13,2023-06-28,1143.96,Zamanında Ödendi,0
P0000247,L000013,14,2023-07-28,1143.96,Zamanında Ödendi,0
P0000248,L000013,15,2023-08-27,1143.96,Zamanında Ödendi,0
P0000249,L000013,16,2023-09-26,1143.96,Zamanında Ödendi,0
P0000250,L000013,17,2023-10-26,1143.96,Zamanında Ödendi,0
P0000251,L000013,18,2023-11-25,1143.96,Zamanında Ödendi,0
P0000252,L000013,19,2023-12-25,1143.96,Gecikmeli Ödendi,6
P0000253,L000013,20,2024-01-24,1143.96,Zamanında Ödendi,0
P0000254,L000013,21,2024-02-23,1143.96,Zamanında Ödendi,0
P0000255,L000013,22,2024-03-24,1143.96,Zamanında Ödendi,0
P0000256,L000013,23,2024-04-23,1143.96,Zamanında Ödendi,0
P0000257,L000013,24,2024-05-23,1143.96,Zamanında Ödendi,0
P0000258,L000013,25,2024-06-22,1143.96,Zamanında Ödendi,0
P0000259,L000013,26,2024-07-22,1143.96,Zamanında Ödendi,0
P0000260,L000013,27,2024-08-21,1143.96,Zamanında Ödendi,0
P0000261,L000013,28,2024-09-20,1143.96,Zamanında Ödendi,0
P0000262,L000013,29,2024-10-20,1143.96,Gecikmeli Ödendi,21
P0000263,L000013,30,2024-11-19,1143.96,Zamanında Ödendi,0
P0000264,L000013,31,2024-12-19,1143.96,Zamanında Ödendi,0
P0000265,L000013,32,2025-01-18,1143.96,Gecikmeli Ödendi,2
P0000266,L000013,33,2025-02-17,1143.96,Zamanında Ödendi,0
P0000267,L000013,34,2025-03-19,1143.96,Gecikmeli Ödendi,1
P0000268,L000013,35,2025-04-18,1143.96,Zamanında Ödendi,0
P0000269,L000013,36,2025-05-18,1143.96,Zamanında Ödendi,0
P0000270,L000013,37,2025-06-17,1143.96,Zamanında Ödendi,0
P0000271,L000013,38,2025-07-17,1143.96,Zamanında Ödendi,0
P0000272,L000013,39,2025-08-16,1143.96,Zamanında Ödendi,0
P0000273,L000013,40,2025-09-15,1143.96,Zamanında Ödendi,0
P0000274,L000013,41,2025-10-15,1143.96,Zamanında Ödendi,0
P0000275,L000013,42,2025-11-14,1143.96,Zamanında Ödendi,0
P0000276,L000013,43,2025-12-14,1143.96,Zamanında Ödendi,0
P0000277,L000013,44,2026-01-13,1143.96,Gecikmeli Ödendi,14
P0000278,L000013,45,2026-02-12,1143.96,Zamanında Ödendi,0
P0000279,L000013,46,2026-03-14,1143.96,Zamanında Ödendi,0
P0000280,L000013,47,2026-04-13,1143.96,Zamanında Ödendi,0
P0000281,L000013,48,2026-05-13,1143.96,Zamanında Ödendi,0
P0000282,L000013,49,2026-06-12,1143.96,Gecikmeli Ödendi,0
P0000283,L000013,50,2026-07-12,1143.96,Gecikmeli Ödendi,24
P0000284,L000013,51,2026-08-11,1143.96,Zamanında Ödendi,0
P0000285,L000014,1,2022-07-04,5375.26,Zamanında Ödendi,0
P0000286,L000014,2,2022-08-03,5375.26,Zamanında Ödendi,0
P0000287,L000014,3,2022-09-02,5375.26,Zamanında Ödendi,0
P0000288,L000014,4,2022-10-02,5375.26,Zamanında Ödendi,0
P0000289,L000014,5,2022-11-01,5375.26,Zamanında Ödendi,0
P0000290,L000014,6,2022-12-01,5375.26,Zamanında Ödendi,0
P0000291,L000014,7,2022-12-31,5375.26,Zamanında Ödendi,0
P0000292,L000014,8,2023-01-30,5375.26,Zamanında Ödendi,0
P0000293,L000014,9,2023-03-01,5375.26,Zamanında Ödendi,0
P0000294,L000014,10,2023-03-31,5375.26,Zamanında Ödendi,0
P0000295,L000014,11,2023-04-30,5375.26,Zamanında Ödendi,0
P0000296,L000014,12,2023-05-30,5375.26,Zamanında Ödendi,0
P0000297,L000014,13,2023-06-29,5375.26,Zamanında Ödendi,0
P0000298,L000014,14,2023-07-29,5375.26,Zamanında Ödendi,0
P0000299,L000014,15,2023-08-28,5375.26,Gecikmeli Ödendi,1
P0000300,L000014,16,2023-09-27,5375.26,Zamanında Ödendi,0
P0000301,L000014,17,2023-10-27,5375.26,Zamanında Ödendi,0
P0000302,L000014,18,2023-11-26,5375.26,Zamanında Ödendi,0
P0000303,L000014,19,2023-12-26,5375.26,Zamanında Ödendi,0
P0000304,L000014,20,2024-01-25,5375.26,Zamanında Ödendi,0
P0000305,L000014,21,2024-02-24,5375.26,Zamanında Ödendi,0
P0000306,L000014,22,2024-03-25,5375.26,Zamanında Ödendi,0
P0000307,L000014,23,2024-04-24,5375.26,Zamanında Ödendi,0
P0000308,L000014,24,2024-05-24,5375.26,Zamanında Ödendi,0
P0000309,L000014,25,2024-06-23,5375.26,Zamanında Ödendi,0
P0000310,L000014,26,2024-07-23,5375.26,Zamanında Ödendi,0
P0000311,L000014,27,2024-08-22,5375.26,Zamanında Ödendi,0
P0000312,L000014,28,2024-09-21,5375.26,Zamanında Ödendi,0
P0000313,L000014,29,2024-10-21,5375.26,Zamanında Ödendi,0
P0000314,L000014,30,2024-11-20,5375.26,Zamanında Ödendi,0
P0000315,L000014,31,2024-12-20,5375.26,Zamanında Ödendi,0
P0000316,L000014,32,2025-01-19,5375.26,Zamanında Ödendi,0
P0000317,L000014,33,2025-02-18,5375.26,Zamanında Ödendi,0
P0000318,L000014,34,2025-03-20,5375.26,Zamanında Ödendi,0
P0000319,L000014,35,2025-04-19,5375.26,Zamanında Ödendi,0
P0000320,L000014,36,2025-05-19,5375.26,Zamanında Ödendi,0
P0000321,L000014,37,2025-06-18,5375.26,Zamanında Ödendi,0
P0000322,L000014,38,2025-07-18,5375.26,Zamanında Ödendi,0
P0000323,L000014,39,2025-08-17,5375.26,Zamanında Ödendi,0
P0000324,L000014,40,2025-09-16,5375.26,Gecikmeli Ödendi,11
P0000325,L000014,41,2025-10-16,5375.26,Zamanında Ödendi,0
P0000326,L000014,42,2025-11-15,5375.26,Zamanında Ödendi,0
P0000327,L000014,43,2025-12-15,5375.26,Zamanında Ödendi,0
P0000328,L000014,44,2026-01-14,5375.26,Zamanında Ödendi,0
P0000329,L000014,45,2026-02-13,5375.26,Zamanında Ödendi,0
P0000330,L000014,46,2026-03-15,5375.26,Zamanında Ödendi,0
P0000331,L000014,47,2026-04-14,5375.26,Zamanında Ödendi,0
P0000332,L000014,48,2026-05-14,5375.26,Zamanında Ödendi,0
P0000333,L000014,49,2026-06-13,5375.26,Zamanında Ödendi,0
P0000334,L000014,50,2026-07-13,5375.26,Zamanında Ödendi,0
P0000335,L000014,51,2026-08-12,5375.26,Zamanında Ödendi,0
P0000336,L000015,1,2021-03-15,39785.05,Zamanında Ödendi,0
P0000337,L000015,2,2021-04-14,39785.05,Zamanında Ödendi,0
P0000338,L000015,3,2021-05-14,39785.05,Zamanında Ödendi,0
P0000339,L000015,4,2021-06-13,39785.05,Zamanında Ödendi,0
P0000340,L000015,5,2021-07-13,39785.05,Zamanında Ödendi,0
P0000341,L000015,6,2021-08-12,39785.05,Zamanında Ödendi,0
P0000342,L000016,1,2026-04-18,1638.56,Zamanında Ödendi,0
P0000343,L000016,2,2026-05-18,1638.56,Zamanında Ödendi,0
P0000344,L000016,3,2026-06-17,1638.56,Zamanında Ödendi,0
P0000345,L000016,4,2026-07-17,1638.56,Zamanında Ödendi,0
P0000346,L000016,5,2026-08-16,1638.56,Zamanında Ödendi,0
P0000347,L000017,1,2023-05-25,1026.99,Zamanında Ödendi,0
P0000348,L000017,2,2023-06-24,1026.99,Zamanında Ödendi,0
P0000349,L000017,3,2023-07-24,1026.99,Zamanında Ödendi,0
P0000350,L000017,4,2023-08-23,1026.99,Zamanında Ödendi,0
P0000351,L000017,5,2023-09-22,1026.99,Zamanında Ödendi,0
P0000352,L000017,6,2023-10-22,1026.99,Zamanında Ödendi,0
P0000353,L000017,7,2023-11-21,1026.99,Zamanında Ödendi,0
P0000354,L000017,8,2023-12-21,1026.99,Zamanında Ödendi,0
P0000355,L000017,9,2024-01-20,1026.99,Zamanında Ödendi,0
P0000356,L000017,10,2024-02-19,1026.99,Zamanında Ödendi,0
P0000357,L000017,11,2024-03-20,1026.99,Zamanında Ödendi,0
P0000358,L000017,12,2024-04-19,1026.99,Zamanında Ödendi,0
P0000359,L000017,13,2024-05-19,1026.99,Zamanında Ödendi,0
