sanction_id,company_id,karar_tarihi,yasak_suresi_yil,yasak_bitis_tarihi,gerekce,aktif_mi,resmi_gazete_sayi
S0001,F01179,2025-10-27,1,2026-10-27,4735 Sayılı Kanun'un 25. maddesi uyarınca ihalelere fesat karıştırma,True,32082
S0002,F00866,2024-07-25,1,2025-07-25,Sözleşme şartlarına aykırı davranış nedeniyle yasaklama,False,32585
S0003,F00102,2023-08-09,3,2026-08-09,4735 Sayılı Kanun'un 25. maddesi uyarınca ihalelere fesat karıştırma,False,32287
S0004,F00440,2024-08-09,2,2026-08-09,Sahte belge düzenleme nedeniyle ihalelerden yasaklama,False,32040
S0005,F00059,2023-07-16,3,2026-07-16,Sözleşme şartlarına aykırı davranış nedeniyle yasaklama,False,32442
S0006,F01121,2023-02-18,2,2025-02-18,Sahte belge düzenleme nedeniyle ihalelerden yasaklama,False,32114
S0007,F00324,2022-04-03,3,2025-04-03,4735 Sayılı Kanun'un 25. maddesi uyarınca ihalelere fesat karıştırma,False,32690
S0008,F00975,2023-06-22,1,2024-06-22,Sahte belge düzenleme nedeniyle ihalelerden yasaklama,False,32323
S0009,F00412,2025-02-07,3,2028-02-07,Sözleşme şartlarına aykırı davranış nedeniyle yasaklama,True,32416
S0010,F00856,2026-05-17,1,2027-05-17,4735 Sayılı Kanun'un 25. maddesi uyarınca ihalelere fesat karıştırma,True,32609
S0011,F00821,2023-10-13,3,2026-10-13,4735 Sayılı Kanun'un 25. maddesi uyarınca ihalelere fesat karıştırma,True,32319
S0012,F00045,2022-05-15,2,2024-05-15,Taahhüdünü yerine getirmeme nedeniyle geçici yasaklama,False,32132
S0013,F00050,2022-10-11,1,2023-10-11,Sahte belge düzenleme nedeniyle ihalelerden yasaklama,False,31980
S0014,F00850,2023-12-11,1,2024-12-11,Sözleşme şartlarına aykırı davranış nedeniyle yasaklama,False,31958
S0015,F00241,2025-11-13,3,2028-11-13,4735 Sayılı Kanun'un 25. maddesi uyarınca ihalelere fesat karıştırma,True,32457
S0016,F00171,2022-12-05,3,2025-12-05,Sözleşme şartlarına aykırı davranış nedeniyle yasaklama,False,32877
S0017,F00524,2025-08-29,2,2027-08-29,4735 Sayılı Kanun'un 25. maddesi uyarınca ihalelere fesat karıştırma,True,32221
S0018,F00766,2022-11-07,2,2024-11-07,Sahte belge düzenleme nedeniyle ihalelerden yasaklama,False,32583
S0019,F00839,2022-10-26,1,2023-10-26,Sözleşme şartlarına aykırı davranış nedeniyle yasaklama,False,32735
S0020,F00424,2022-04-13,1,2023-04-13,Sahte belge düzenleme nedeniyle ihalelerden yasaklama,False,32764
